Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Master's degree,5,45. Social sciences,45.03. Archaeology,,
Diploma,5,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$52,300 ",450
Diploma,5,"52. Business, management, marketing and related support services",52.14. Marketing,"$48,400 ",740
Diploma,5,"52. Business, management, marketing and related support services",52.15. Real estate,"$69,500 ",50
Master's degree,5,45. Social sciences,45.11. Sociology,,
Diploma,5,"52. Business, management, marketing and related support services",52.17. Insurance,"$60,200 ",90
Master's degree,5,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,,
Master's degree,5,50. Visual and performing arts,50.07. Fine arts and art studies,,
Diploma,5,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$38,000 ",200
Master's degree,5,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",,
Diploma,5,"52. Business, management, marketing and related support services",52.20. Construction management,"$67,500 ",100
Master's degree,5,51. Health professions and related programs,"51.05. Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)",,
Diploma,5,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other","$58,800 ",110
Master's degree,5,51. Health professions and related programs,51.15. Mental and social health services and allied professions,,
Master's degree,5,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",,
Bachelor's degree,5,"52. Business, management, marketing and related support services","52.01. Business/commerce, general","$77,100 ",2200
Bachelor's degree,5,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$64,400 ",2480
Master's degree,5,51. Health professions and related programs,"51.25. Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$74,700 ",2760
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,"$64,300 ",180
Master's degree,5,"52. Business, management, marketing and related support services",52.03. Accounting and related services,,
Master's degree,5,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$77,700 ",800
Master's degree,5,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Master's degree,5,"52. Business, management, marketing and related support services",52.14. Marketing,,
Master's degree,5,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$49,800 ",60
Master's degree,5,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Doctoral degree,5,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Doctoral degree,5,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$67,000 ",650
Doctoral degree,5,04. Architecture and related services,04.04. Environmental design/architecture,,
Doctoral degree,5,"09. Communication, journalism and related programs",09.01. Communication and media studies,,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,"$60,000 ",360
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.12. Management information systems and services,"$67,300 ",40
Doctoral degree,5,13. Education,13.04. Educational administration and supervision,,
Doctoral degree,5,13. Education,13.05. Educational/instructional media design,,
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,"$70,500 ",100
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.14. Marketing,"$62,400 ",670
Doctoral degree,5,14. Engineering,14.05. Bioengineering and biomedical engineering,,
Master's degree,5,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$116,300 ",1560
Master's degree,5,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$91,100 ",50
Bachelor's degree,1,54. History,54.01. History,"$35,000 ",510
Master's degree,1,54. History,54.01. History,"$37,100 ",40
Doctoral degree,1,54. History,54.01. History,"$50,700 ",30
Doctoral degree,5,14. Engineering,14.38. Surveying engineering,,
Bachelor's degree,2,54. History,54.01. History,"$40,400 ",480
Doctoral degree,5,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",,
Master's degree,2,54. History,54.01. History,"$39,800 ",40
Doctoral degree,2,54. History,54.01. History,"$53,300 ",30
